Ref,Val,Package,PosX,PosY,Rot,Side
"B1","PTS647SM38SMTR2LFS","PTS647SM38SMTR2LFS",187.604400,-104.978200,180.000000,top
"B2","PTS647SM38SMTR2LFS","PTS647SM38SMTR2LFS",177.241200,-104.800400,180.000000,top
"BZ1","AT-1438-TWT-R","AT-1438-TWT-R",218.059000,-102.920800,0.000000,top
"C1","4.7uF","CAP_0603",209.677000,-83.616800,90.000000,top
"C2","0.1uF","CAP_0603",190.042800,-90.881200,180.000000,top
"C3","0.1uF","CAP_0603",192.405000,-104.013000,-90.000000,top
"C4","0.1uF","CAP_0603",209.575400,-100.584000,-90.000000,top
"C5","0.1uF","CAP_0603",192.278000,-83.108800,180.000000,top
"C6","0.1uF","CAP_0603",211.988400,-86.512400,0.000000,top
"C7","0.1uF","CAP_0603",195.402200,-102.514400,180.000000,top
"C8","0.1uF","CAP_0603",190.375000,-96.450000,180.000000,top
"C9","1uF","CAP_0603",189.650000,-99.175000,180.000000,top
"C10","10uF","T491A106K010AT",159.181800,-105.511600,-90.000000,top
"C11","2.2uF","CAP_0603",204.495400,-102.285800,0.000000,top
"C12","8pF","CAP_0603",185.650000,-98.950000,0.000000,top
"C13","10uF","T491A106K010AT",171.805600,-106.146600,-90.000000,top
"C14","8pF","CAP_0603",190.525000,-94.550000,0.000000,top
"C15","2.2uF","CAP_0603",212.039200,-88.265000,0.000000,top
"C16","0.1uF","CAP_0603",182.168800,-104.597200,-90.000000,top
"C17","1uF","CAP_0603",221.945200,-88.950800,0.000000,top
"C18","0.1uF","CAP_0603",222.300800,-90.652600,0.000000,top
"C19","1uF","CAP_0603",166.750000,-93.700000,90.000000,top
"C20","1uF","CAP_0603",180.300000,-93.050000,90.000000,top
"C21","0.1uF","CAP_0603",190.322200,-88.163400,-90.000000,top
"C22","0.1uF","CAP_0603",188.493400,-88.138000,-90.000000,top
"D1","CLMVC-FKA-CL1D1L71BB7C3C3","CLMVC-FKA-CL1D1L71BB7C3C3",214.401400,-83.591400,0.000000,top
"D2","SM5819PL-TP","SM5819PL-TP",160.274000,-85.725000,90.000000,top
"D3","SM5819PL-TP","SM5819PL-TP",153.695400,-97.612200,180.000000,top
"D4","SML-LX1206GC-TR","SML-LX1206GC-TR",226.847400,-107.543600,180.000000,top
"D5","SP0504BAHTG","SP0504BAHTG",224.212553,-93.802200,0.000000,top
"J1","Jumper_NO","Jumper-NO",192.125600,-107.264200,90.000000,top
"J2","Jumper_NO","Jumper-NO",197.434200,-82.626200,0.000000,top
"LOGO1","Logo","logo_small",154.627652,-101.388974,0.000000,top
"P1","1546551-2","1546551-2",156.619600,-92.125800,-90.000000,top
"P2","3220-20-0200-00","3220-20-0200-00",229.706550,-93.472000,-90.000000,top
"P3","USB","10118194-0001LF",222.732600,-82.334700,180.000000,top
"P4","1984659","1984659",181.546203,-87.615301,180.000000,top
"Q1","QS5U17TR","QS5U17TR",163.175000,-93.025000,180.000000,top
"Q2","QS5U17TR","QS5U17TR",177.050000,-93.050000,180.000000,top
"R1","68","RES_0603",217.144600,-83.997800,90.000000,top
"R2","82","RES_0603",215.138000,-87.020400,90.000000,top
"R3","280","RES_0603",206.883000,-82.169000,180.000000,top
"R4","100k","RES_0603",226.441000,-99.136200,-90.000000,top
"R5","100k","RES_0603",227.203000,-101.777800,0.000000,top
"R6","240","RES_0603",211.201000,-109.093000,0.000000,top
"R7","10k","RES_0603",194.919600,-106.070400,-90.000000,top
"R8","10k","RES_0603",228.117400,-84.455000,-90.000000,top
"R9","20k","RES_0603",229.920800,-84.531200,-90.000000,top
"R10","10k","RES_0603",206.806800,-107.873800,90.000000,top
"R11","10k","RES_0603",184.825000,-91.025000,90.000000,top
"R12","4.7k","RES_0603",218.236800,-87.884000,0.000000,top
"R13","10k","RES_0603",212.166200,-91.160600,0.000000,top
"R14","1k","RES_0603",158.115000,-99.618800,-90.000000,top
"R15","10k","RES_0603",167.690800,-101.346000,180.000000,top
"R16","10k","RES_0603",160.223200,-99.009200,-90.000000,top
"R17","4.7k","RES_0603",188.163200,-84.226400,0.000000,top
"R18","4.7k","RES_0603",185.445400,-84.455000,90.000000,top
"R19","100k","RES_0603",168.859200,-93.726000,-90.000000,top
"R20","100k","RES_0603",182.500000,-92.650000,-90.000000,top
"R21","10k","RES_0603",175.133000,-98.856800,-90.000000,top
"R22","10k","RES_0603",182.600000,-98.075000,90.000000,top
"R23","10k","RES_0603",171.500800,-101.904800,0.000000,top
"R24","10k","RES_0603",179.527200,-101.269800,180.000000,top
"U1","STM32H750VBTx","STM32H750VBT6",201.244200,-92.176600,0.000000,top
"U2","LMS8117AMP-3.3_NOPB","LMS8117AMP-3.3NOPB",165.557200,-105.841800,180.000000,top
"U3","SST25VF040B-50-4I-S2AE-T","SST25VF040B-50-4I-S2AE-T",200.787000,-106.984800,0.000000,top
"U4","CP2102-GMR(QFN28)","CP2012-GMR",217.043000,-92.456000,180.000000,top
"U5","TS391IYLT","TS391IYLT",164.134800,-97.988400,180.000000,top
"U6","BMP390","BMP390",185.851800,-87.985600,0.000000,top
"U7","TS391IYLT","TS391IYLT",171.094400,-98.425000,180.000000,top
"U8","TS391IYLT","TS391IYLT",178.562000,-98.120200,180.000000,top
"Y1","ECS-240-18-33-JGN-TR","ECS-240-18-33-JGN-TR",186.025000,-96.125000,0.000000,top
